country,date,feature,value
AE,2022-04-06,NewSubscription,1
AE,2022-04-07,ActiveSubscription,144
AE,2022-04-07,NewSubscription,2
AE,2022-04-08,ActiveSubscription,143
AE,2022-04-08,NewSubscription,2
AE,2022-04-09,ActiveSubscription,144
AE,2022-04-09,NewSubscription,2
AE,2022-04-10,ActiveSubscription,146
AE,2022-04-10,NewSubscription,3
AE,2022-04-11,ActiveSubscription,147
AE,2022-04-12,ActiveSubscription,147
AE,2022-04-12,NewSubscription,2
AE,2022-04-13,ActiveSubscription,149
AE,2022-04-13,NewSubscription,1
AE,2022-04-14,ActiveSubscription,148
AE,2022-04-14,NewSubscription,2
AE,2022-04-15,ActiveSubscription,147
AE,2022-04-15,NewSubscription,2
AE,2022-04-16,ActiveSubscription,147
AE,2022-04-16,NewSubscription,3
AE,2022-04-17,ActiveSubscription,146
AE,2022-04-18,ActiveSubscription,141
AE,2022-04-18,NewSubscription,1
AE,2022-04-19,ActiveSubscription,144
AE,2022-04-19,NewSubscription,2
AE,2022-04-20,ActiveSubscription,141
AE,2022-04-20,NewSubscription,2
AE,2022-04-21,ActiveSubscription,144
AE,2022-04-22,ActiveSubscription,142
AE,2022-04-22,NewSubscription,2
AE,2022-04-23,ActiveSubscription,139
AE,2022-04-23,NewSubscription,4
AE,2022-04-24,ActiveSubscription,137
AE,2022-04-25,ActiveSubscription,137
AE,2022-04-25,NewSubscription,2
AE,2022-04-26,ActiveSubscription,141
AE,2022-04-27,ActiveSubscription,143
AE,2022-04-28,ActiveSubscription,148
AE,2022-04-29,ActiveSubscription,147
AE,2022-04-29,NewSubscription,1
AE,2022-04-30,ActiveSubscription,142
AE,2022-04-30,NewSubscription,1
AE,2022-05-01,ActiveSubscription,142
AE,2022-05-01,NewSubscription,1
AE,2022-05-02,ActiveSubscription,143
AE,2022-05-03,ActiveSubscription,143
AE,2022-05-03,NewSubscription,1
AE,2022-05-04,ActiveSubscription,142
AE,2022-05-04,NewSubscription,2
AE,2022-05-05,ActiveSubscription,142
AE,2022-05-05,NewSubscription,1
AE,2022-05-06,ActiveSubscription,138
AE,2022-05-07,ActiveSubscription,138
AE,2022-05-07,NewSubscription,2
AE,2022-05-08,ActiveSubscription,139
AE,2022-05-08,NewSubscription,1
AE,2022-05-09,ActiveSubscription,137
AE,2022-05-10,ActiveSubscription,137
AE,2022-05-10,NewSubscription,1
AE,2022-05-11,ActiveSubscription,136
AE,2022-05-12,ActiveSubscription,137
AE,2022-05-12,NewSubscription,2
AE,2022-05-13,ActiveSubscription,133
AE,2022-05-13,NewSubscription,1
AE,2022-05-14,ActiveSubscription,130
AE,2022-05-14,NewSubscription,2
AE,2022-05-15,ActiveSubscription,131
AE,2022-05-16,ActiveSubscription,129
AE,2022-05-17,ActiveSubscription,133
AE,2022-05-17,NewSubscription,1
AE,2022-05-18,ActiveSubscription,133
